Hostname;Name;RD;Proto;Interface;
Unknown;Name;Default;RD;Protocols;
Unknown;CSC_STEP_TEST;65500:777;ipv4;BD777;
Unknown;CSC_STEP_TEST;65500:777;ipv4;CU_NAME_TEST;
Unknown;EVPN-50;65000:905;ipv4;Lo321;
Unknown;HP_IUM;65000:510;ipv4;BD60;
Unknown;IPTV;65000:90;ipv4;BD1210;
Unknown;IXIA_BGP;65000:100000000;ipv4;BD500;
Unknown;LTE_LTE;65000:803;ipv4;BD2001;
Unknown;LTE_OAM;65000:804;ipv4;BD3001;
Unknown;MGMT;65000:65000100;ipv4;Lo2;
Unknown;MGMT;65000:65000100;ipv4;Mgmt;
Unknown;PWR_MGMT;65000:99;ipv4;BD3501;
Unknown;PWR_MGMT;65000:99;ipv4;STEP_TEST;
Unknown;PWR_MGMT;65000:99;ipv4;STEP_TEST_HSRP;
Unknown;SYSTEM_112_OAM;28840:2001;ipv4;BD4028;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;BD4029;
Unknown;SYSTEM_112_RTP;28840:2000;ipv4;BD4030;
Unknown;securedvor;65000:1315;ipv4;BD399;
Unknown;securedvor;65000:1315;ipv4;;
Unknown;Name;Default;RD;Protocols;
Unknown;AKBARS-MED;28840:909;ipv4;Vl15;
Unknown;CCTV_AXXON;65000:1314;ipv4;Vl75;
Unknown;CCTV_AXXON;65000:1314;ipv4;Vl721;
Unknown;CENSOR;65000:1600;ipv4;Vl1600;
Unknown;CENSOR;65000:1600;ipv4;CITY;
Unknown;EGE_2015;28840:480;ipv4;Vl2113;
Unknown;FEDKAZ_BASHRTCOMM;28840:1161;ipv4;Vl581;
Unknown;FTTH;65000:306;ipv4;Vl1101;
Unknown;FTTH;65000:306;ipv4;Vl1150;
Unknown;FTTH;65000:306;ipv4;Vl1151;
Unknown;GIBDD;65000:350;ipv4;Vl110;
Unknown;GIBDD;65000:350;ipv4;Vl112;
Unknown;GTS-MGKH;28840:506;ipv4;Vl81;
Unknown;HP_IUM;65000:510;ipv4;Vl51;
Unknown;INET;65000:500;ipv4;Vl3;
Unknown;INET;65000:500;ipv4;Vl9;
Unknown;INET;65000:500;ipv4;Vl13;
Unknown;INET;65000:500;ipv4;Vl32;
Unknown;INET;65000:500;ipv4;Vl34;
Unknown;INET;65000:500;ipv4;Vl36;
Unknown;INET;65000:500;ipv4;Vl60;
Unknown;INET;65000:500;ipv4;Vl83;
Unknown;INET;65000:500;ipv4;Vl84;
Unknown;INET;65000:500;ipv4;Vl132;
Unknown;INET;65000:500;ipv4;Vl142;
Unknown;INET;65000:500;ipv4;Vl315;
Unknown;INET;65000:500;ipv4;Vl4000;
Unknown;INET;65000:500;ipv4;Vl90;
Unknown;INET;65000:500;ipv4;Vl105;
